win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name0,team_long_name1
3,10102,8234,8722,1,1,7809,2015/2016,FC Ingolstadt 04,1. FC Köln
2,10103,8262,9789,0,2,7809,2015/2016,SV Darmstadt 98,Borussia Dortmund
3,10104,9789,9823,0,0,7809,2015/2016,Borussia Dortmund,FC Bayern Munich
1,10105,8721,9788,2,1,7809,2015/2016,VfL Wolfsburg,Borussia Mönchengladbach
1,10106,9790,8177,2,0,7809,2015/2016,Hamburger SV,Hertha BSC Berlin
1,10107,10269,8226,5,1,7809,2015/2016,VfB Stuttgart,TSG 1899 Hoffenheim
3,10108,8406,8178,3,3,7809,2015/2016,FC Augsburg,Bayer 04 Leverkusen
1,10109,8697,9904,4,1,7809,2015/2016,SV Werder Bremen,Hannover 96
3,10110,9810,8234,1,1,7809,2015/2016,Eintracht Frankfurt,FC Ingolstadt 04
2,10111,8722,10189,1,3,7809,2015/2016,1. FC Köln,FC Schalke 04
3,10112,9905,8262,0,0,7809,2015/2016,1. FSV Mainz 05,SV Darmstadt 98
1,10113,9823,8697,5,0,7809,2015/2016,FC Bayern Munich,SV Werder Bremen
1,10114,9789,9905,2,0,7809,2015/2016,Borussia Dortmund,1. FSV Mainz 05
1,10115,8178,9790,1,0,7809,2015/2016,Bayer 04 Leverkusen,Hamburger SV
1,10116,9788,9810,3,0,7809,2015/2016,Borussia Mönchengladbach,Eintracht Frankfurt
2,10117,9904,8722,0,2,7809,2015/2016,Hannover 96,1. FC Köln
1,10118,8177,10189,2,0,7809,2015/2016,Hertha BSC Berlin,FC Schalke 04
1,10119,8226,8721,1,0,7809,2015/2016,TSG 1899 Hoffenheim,VfL Wolfsburg
3,10120,8234,10269,3,3,7809,2015/2016,FC Ingolstadt 04,VfB Stuttgart
3,10121,8262,8406,2,2,7809,2015/2016,SV Darmstadt 98,FC Augsburg
1,10122,10189,9788,2,1,7809,2015/2016,FC Schalke 04,Borussia Mönchengladbach
3,10123,8721,8262,1,1,7809,2015/2016,VfL Wolfsburg,SV Darmstadt 98
2,10124,9790,8226,1,3,7809,2015/2016,Hamburger SV,TSG 1899 Hoffenheim
2,10125,10269,8178,0,2,7809,2015/2016,VfB Stuttgart,Bayer 04 Leverkusen
2,10126,8406,9789,1,3,7809,2015/2016,FC Augsburg,Borussia Dortmund
3,10127,8697,9905,1,1,7809,2015/2016,SV Werder Bremen,1. FSV Mainz 05
1,10128,9810,9904,1,0,7809,2015/2016,Eintracht Frankfurt,Hannover 96
2,10129,8722,9823,0,1,7809,2015/2016,1. FC Köln,FC Bayern Munich
1,10130,8177,8234,2,1,7809,2015/2016,Hertha BSC Berlin,FC Ingolstadt 04
1,10131,9823,9810,1,0,7809,2015/2016,FC Bayern Munich,Eintracht Frankfurt
1,10132,9789,8697,3,2,7809,2015/2016,Borussia Dortmund,SV Werder Bremen
1,10133,8178,8721,3,0,7809,2015/2016,Bayer 04 Leverkusen,VfL Wolfsburg
1,10134,9788,8177,5,0,7809,2015/2016,Borussia Mönchengladbach,Hertha BSC Berlin
2,10135,9904,9790,0,3,7809,2015/2016,Hannover 96,Hamburger SV
3,10136,8226,8722,1,1,7809,2015/2016,TSG 1899 Hoffenheim,1. FC Köln
1,10137,9905,8406,4,2,7809,2015/2016,1. FSV Mainz 05,FC Augsburg
1,10138,8234,10189,3,0,7809,2015/2016,FC Ingolstadt 04,FC Schalke 04
3,10139,8262,10269,2,2,7809,2015/2016,SV Darmstadt 98,VfB Stuttgart
3,10140,10189,9789,2,2,7809,2015/2016,FC Schalke 04,Borussia Dortmund
3,10141,8721,9905,1,1,7809,2015/2016,VfL Wolfsburg,1. FSV Mainz 05
2,10142,9790,8262,1,2,7809,2015/2016,Hamburger SV,SV Darmstadt 98
2,10143,10269,9823,1,3,7809,2015/2016,VfB Stuttgart,FC Bayern Munich
2,10144,8697,8406,1,2,7809,2015/2016,SV Werder Bremen,FC Augsburg
2,10145,9810,8226,0,2,7809,2015/2016,Eintracht Frankfurt,TSG 1899 Hoffenheim
2,10146,8722,8178,0,2,7809,2015/2016,1. FC Köln,Bayer 04 Leverkusen
3,10147,8177,9904,2,2,7809,2015/2016,Hertha BSC Berlin,Hannover 96
1,10148,8234,9788,1,0,7809,2015/2016,FC Ingolstadt 04,Borussia Mönchengladbach
1,10149,9823,8178,3,0,7809,2015/2016,FC Bayern Munich,Bayer 04 Leverkusen
